,X1.5,X2,X2.5,X3,X3.5,X4,X4.5,X5
Alcohol_.beer_and_wine.,0.5,0.542553191,0.521126761,0.549689441,0.529661017,0.5,0.5,0.542553191
Alcohol_.full_bar.,0.5,0.521276596,0.542253521,0.52484472,0.512711864,0.5,0.5,0.521276596
Alcohol_.none.,0.570512821,0.645390071,0.617370892,0.644927536,0.645480226,0.666666667,0.546703297,0.645390071
Alcohol_u.beer_and_wine.,0.642857143,0.642857143,0.642857143,0.670807453,0.661016949,0.71875,0.642857143,0.627659574
Alcohol_u.full_bar.,0.538461538,0.531914894,0.612676056,0.602484472,0.555084746,0.53125,0.538461538,0.538461538
Alcohol_u.none.,0.619047619,0.716312057,0.734741784,0.737060041,0.72740113,0.770833333,0.619047619,0.716312057
BYOBCorkage_.no.,0.5,0.5,0.528169014,0.51552795,0.508474576,0.5,0.5,0.5
BYOBCorkage_.yes_corkage.,0.5,0.5,0.507042254,0.50931677,0.504237288,0.5,0.5,0.5
BYOBCorkage_.yes_free.,0.538461538,0.5,0.528169014,0.52484472,0.5,0.5,0.538461538,0.538461538
NoiseLevel_.average.,0.608974359,0.602836879,0.638497653,0.610766046,0.620056497,0.666666667,0.595238095,0.608974359
NoiseLevel_.loud.,0.5,0.510638298,0.507042254,0.50310559,0.5,0.5,0.5,0.510638298
NoiseLevel_.quiet.,0.571428571,0.571428571,0.571428571,0.571428571,0.571428571,0.571428571,0.571428571,0.519230769
NoiseLevel_u.average.,0.583333333,0.556737589,0.650234742,0.65942029,0.566384181,0.572916667,0.547619048,0.583333333
NoiseLevel_u.loud.,0.666666667,0.624113475,0.645539906,0.641821946,0.649717514,0.666666667,0.642857143,0.666666667
NoiseLevel_u.quiet.,0.576923077,0.521276596,0.514084507,0.52484472,0.550847458,0.53125,0.576923077,0.576923077
NoiseLevel_u.very_loud.,0.519230769,0.5,0.5,0.5,0.5,0.5,0.519230769,0.519230769
RestaurantsAttire_.casual.,0.69047619,0.69047619,0.69047619,0.69047619,0.697740113,0.802083333,0.69047619,0.65248227
RestaurantsAttire_u.casual.,0.69047619,0.69047619,0.69047619,0.69047619,0.69047619,0.69047619,0.69047619,0.567375887
RestaurantsAttire_u.dressy.,0.5,0.5,0.5,0.50931677,0.516949153,0.5,0.5,0.5
Smoking_None,0.5,0.5,0.5,0.50310559,0.5,0.5,0.5,0.5
Smoking_u.no.,0.5,0.510638298,0.535211268,0.568322981,0.538135593,0.625,0.5,0.510638298
Smoking_u.outdoor.,0.5,0.5,0.5,0.50931677,0.508474576,0.5,0.5,0.5
WiFi_.free.,0.642857143,0.642857143,0.642857143,0.642857143,0.642857143,0.642857143,0.642857143,0.563829787
WiFi_.no.,0.523809524,0.581560284,0.589201878,0.635610766,0.615819209,0.666666667,0.523809524,0.581560284
WiFi_u.free.,0.615384615,0.691489362,0.669014085,0.673913043,0.711864407,0.6875,0.571428571,0.691489362
WiFi_u.no.,0.717948718,0.737588652,0.69047619,0.69047619,0.701977401,0.69047619,0.69047619,0.737588652
WiFi_u.paid.,0.5,0.5,0.507042254,0.5,0.5,0.5,0.5,0.5
Type,0.641025641,0.663120567,0.624413146,0.609730849,0.665254237,0.864583333,0.637362637,0.663120567
hours_per_week_y,0.571428571,0.571428571,0.598591549,0.585921325,0.629943503,0.729166667,0.571428571,0.525641026
